By residential area(1),2015,2015.1,2015.2,2016,2016.1,2016.2,2017,2017.1,2017.2,2018,2018.1,2018.2,2019,2019.1,2019.2,2020,2020.1,2020.2,2021,2021.1,2021.2,2022,2022.1,2022.2,2023,2023.1,2023.2
Whole country,19111030,10698686,8412344,19367696,10743492,8624204,19673875,11000007,8673868,19979188,11233906,8745282,20343188,11456266,8886922,20926710,11730171,9196539,21448463,12062871,9385592,21773507,12232407,9541100,22073158,12454684,9618474
Seoul,3784490,1875295,1909195,3784705,1864059,1920646,3813260,1875189,1938071,3839766,1884423,1955343,3896389,1894875,2001514,3982290,1928074,2054216,4046799,1974544,2072255,4098818,1991345,2107473,4141659,1998410,2143249
Busan,1335900,786367,549533,1344170,783542,560628,1354401,791489,562912,1363608,796271,567337,1377030,799696,577334,1405037,809380,595657,1431365,822769,608596,1447825,831691,616134,1462404,845691,616713
Daegu,928528,533011,395517,935753,537709,398044,948030,550374,397656,957516,557967,399549,968620,563282,405338,985816,569624,416192,1000931,579620,421311,1010834,586337,424497,1033238,603118,430120
Incheon,1045417,611847,433570,1062828,617040,445788,1080285,630228,450057,1094749,642745,452004,1120576,650209,470367,1147200,659295,487905,1183610,677602,506008,1212731,690709,522022,1242168,707563,534605
Gwangju,567157,322530,244627,569372,324437,244935,575732,328263,247469,578559,333853,244706,587159,338980,248179,599217,343671,255546,615693,354979,260714,623252,360687,262565,627602,365849,261753
Daejeon,582504,320654,261850,590698,320525,270173,597736,320407,277329,602175,325228,276947,609043,326384,282659,631208,330682,300526,640085,338038,302047,646474,342702,303772,654809,348061,306748
Ulsan,423412,264500,158912,426027,266518,159509,428720,271099,157621,431391,274789,156602,437094,279906,157188,444087,286134,157953,451432,289774,161658,453998,291610,162388,458129,292530,165599
Sejong,75219,40715,34504,90413,47215,43198,104325,55925,48400,119029,64544,54485,129664,69400,60264,139106,73011,66095,145295,77538,67757,154019,87761,66258,156444,91053,65391
Gyeonggi-do,4384742,2433305,1951437,4484424,2466749,2017675,4602950,2542649,2060301,4751497,2642084,2109413,4907660,2745423,2162237,5098431,2842747,2255684,5290662,2960542,2330120,5406963,3023928,2383035,5500024,3117074,2382950
Gangwon State,606117,334031,272086,616346,338824,277522,620729,345955,274774,628484,353035,275449,633942,363552,270390,661039,378696,282343,674728,391373,283355,684895,400237,284658,698410,407225,291185
Chungcheongbuk-do,601856,348127,253729,617914,351451,266463,629073,362726,266347,640978,371224,269754,654713,382876,271837,678922,394482,284440,695611,405681,289930,704864,411548,293316,720231,421750,298481
Chungcheongnam-do,796185,446466,349719,813730,456199,357531,834986,477532,357454,851124,492564,358560,864102,504574,359528,892222,517605,374617,915634,529443,386191,931370,535466,395904,948631,549179,399452
Jeollabuk-do,717311,421666,295645,724678,415291,309387,728871,427522,301349,732980,434101,298879,738307,439491,298816,755575,448731,306844,772471,458116,314355,777680,456701,320979,786775,464828,321947
Jeollanam-do,720612,431275,289337,727197,421262,305935,733757,435332,298425,737406,441640,295766,741026,449851,291175,761518,464463,297055,777358,477123,300235,784645,481045,303600,793249,489842,303407
Gyeongsangbuk-do,1062724,635608,427116,1076581,632790,443791,1087807,652416,435391,1094534,665822,428712,1102934,675292,427642,1131819,688989,442830,1156645,707840,448805,1166306,711656,454650,1166594,712910,453684
Gyeongsangnam-do,1258487,769925,488562,1273523,773636,499887,1292998,800655,492343,1306394,816442,489952,1321213,831804,489409,1350155,850274,499881,1378982,868473,510509,1392608,875525,517083,1404476,883584,520892
Jeju,220369,123364,97005,229337,126245,103092,240215,132246,107969,248998,137174,111824,253716,140671,113045,263068,144313,118755,271162,149416,121746,276225,153459,122766,278315,156017,122298
