Year,Average_Price_Index
2003,61.20750409
2004,60.431306512499994
2005,60.727008177500004
2006,64.3579531425
2007,71.23161353666667
2008,76.25019378666667
2009,77.111841995
2010,78.83686131666666
2011,82.43241590916666
2012,83.96224097583332
2013,82.8997799225
2014,84.1050879475
2015,86.34362819166667
2016,87.949031305
2017,88.946303985
2018,90.20728364
2019,90.02061959000001
2020,92.57567409666666
2021,100.437211945
2022,103.87701195250001
2023,96.26028165166667
2024,96.025815325
2025,96.17750109
